"Data Source","World Development Indicators",

"Last Updated Date","2021-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","6472.39870887477","7885.15892730063","9765.90920740626","11392.2691499861","12306.7176791493","13495.79430054","14045.4745656146","14938.6815734932","16239.9878515928","16439.3563609282","16583.8758560136","17927.9594391833","19077.6874273513","19355.3335357274","20617.7504673528","20670.3670051627","20436.8871286309","20833.976357295","22568.3749910043","23300.7383630907","24046.2263769373","25834.1117784233","27083.6348596914","24631.1820522439","23513.527696809","24985.0139185797","24712.4932628907","26441.6199357378","26893.0115056581","28396.9084228616","28452.1706146796","29350.8050189137","30253.2793580195","","",
"Africa Eastern and Southern","AFE","GDP per capita (current US$)","NY.GDP.PCAP.CD","147.836768786415","147.238536787463","156.426780061126","182.521138714036","162.594548386348","180.489043079442","191.135789578846","192.629741663478","204.317426274074","228.255299992155","237.153624714893","254.393353644298","268.539196687062","340.276624087179","410.742094205946","425.449373012793","412.139596239449","456.948219597768","496.845222685721","564.860888424024","689.602800421373","686.247583014867","642.760123867758","644.783086971741","572.3163822477","496.418612880572","543.253242099206","644.780943840593","658.347177742178","658.186040295144","698.048374060864","705.498632971128","684.375596222535","666.986221244707","661.318383530982","724.062189968291","703.573119312598","720.738063422644","662.202759089881","636.80778581739","673.967014400832","592.637414655198","590.750863105046","759.434685444393","919.005361685002","1040.44646144838","1145.95106313512","1282.32293524015","1360.08478795144","1329.72704315466","1554.18337860429","1686.69576257001","1672.36365831011","1653.18843593743","1658.65006182338","1507.80025630571","1404.95316439875","1540.23247267839","1534.17176660592","1485.30742493168","1330.1402316926",
"Afghanistan","AFG","GDP per capita (current US$)","NY.GDP.PCAP.CD","59.7732337032148","59.8608999923829","58.4580086983139","78.7064287776753","82.0953065340517","101.108325163758","137.594297961115","160.898434161304","129.108310965006","129.329760364199","156.518771348706","159.567508996258","135.317227981591","143.144649500081","173.653624742026","186.510838346447","197.445507551145","224.225001566116","247.354087806417","275.738115377232","272.655510200686","264.111197144336","","","","","","","","","","","","","","","","","","","","","179.426579211394","190.683814295088","211.382074198939","242.031313175022","263.733601866274","359.693157866109","364.660679028164","438.076142403179","543.302967401909","591.162798293135","641.871437960934","637.165463951798","613.856505217398","578.466352941708","509.220100485356","519.888912573073","493.756581366026","507.103391875763","508.808409485223",
"Africa Western and Central","AFW","GDP per capita (current US$)","NY.GDP.PCAP.CD","107.963778616651","113.114696953784","118.865837440142","123.478966568545","131.892938958314","138.566819440514","144.368394634907","128.620050961971","129.678996354687","143.757635300556","195.490684201364","169.168528863905","200.226910297762","241.782075260994","333.289875473385","377.898462957787","444.504298338287","454.923087827076","482.618499758549","584.544785353761","718.901921950147","1317.31654898202","1136.79468344736","816.139285944852","656.904775547103","651.700457485046","585.07829234262","584.290054262687","561.525597688106","510.56834625194","594.899599576292","558.5990402193","547.823070701764","438.26231068767","376.354920811847","459.364903240959","495.779036379884","486.52301634998","484.090741631737","500.436179658533","502.031661993901","516.927933754648","605.061007142956","681.882359233506","826.816538201166","988.839393612544","1224.05761209197","1400.08600739197","1666.89984716336","1444.20189894288","1655.13013813728","1827.51834682635","1936.39096169927","2123.39243327941","2166.74330941761","1886.24815793403","1666.42240647892","1606.97833161683","1695.95921508335","1772.33915484035","1714.42679990415",
"Angola","AGO","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","711.40957856021","642.768196831557","620.333123364606","623.815362351581","638.099006801712","758.745063152158","685.728127726666","756.767926189975","792.833017228347","891.149280264381","948.338177965671","","","","251.078348367302","398.79099821209","522.679624255226","514.385174425759","423.619048972815","387.785124062555","556.838631674927","527.333528536691","872.494441791273","982.96100777685","1255.56451325546","1902.42214975937","2599.56594793067","3121.99608528081","4080.94103372417","3122.7815987074","3587.88364462837","4615.46821863819","5100.09702685927","5254.88112606683","5408.41170002082","4166.97983330278","3506.07312818832","4095.8100568707","3289.64399476678","2809.62608839129","1895.77086891313",
"Albania","ALB","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","639.484735848211","639.865909445734","693.873474633887","674.793383069492","652.774321396566","697.995596576519","617.230435515505","336.586994504629","200.852219772323","367.279225077581","586.416339644261","750.604449178826","1009.97766752106","717.380567391734","813.790263555599","1033.2416930932","1126.68331762741","1281.65939343074","1425.12484888368","1846.11881331912","2373.57984371994","2673.78728253113","2972.74326462176","3595.03716321514","4370.54012699014","4114.14011404922","4094.3503344202","4437.14288515077","4247.62998374252","4413.06086120676","4578.6319939825","3952.80121524465","4124.05572595352","4531.02080555986","5284.38018438156","5355.84779459031","5215.27675237003",
"Andorra","AND","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","3238.69026097204","3496.5320229667","4218.27159918486","5342.16856044208","6320.80963168572","7169.10100559556","7151.24990940599","7751.84330741357","9127.81227979624","11818.4733427033","12378.7845111338","10372.786050001","9610.02061570912","8025.20764054036","7728.90669456943","7775.61421691636","10361.1477651737","12615.1261769143","14304.6405954742","15165.2812551732","18878.8523130643","19534.2636301538","20549.8055751695","16515.6583953924","16235.0680377239","18458.1739929996","19016.2881877293","18355.6278604321","18895.110661321","19262.3089910407","21854.2468030614","22970.5122133619","25067.2400639132","32272.8458909877","37966.1872524395","40064.2249292197","42674.7589681092","47804.8499340211","48719.6587699036","43504.2156523202","40850.2481432297","43334.8114127088","38686.4612635075","39540.7248137461","41303.9293714464","35770.7767044085","37475.6350587526","38964.904478265","41791.9698372411","40897.3308728669","",
"Arab World","ARB","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","299.785926227086","319.992438779087","350.428118033775","394.560228139805","458.054494493844","564.018335718988","1036.57176007616","1114.75304619489","1342.62283466982","1497.26721058292","1591.38707317234","2084.57941013617","2731.4173440461","2730.11723088737","2484.74926235511","2265.88309645207","2230.05611738103","2142.70931495646","1986.78929647078","2058.50496661089","1968.60013664154","2007.91148818759","2681.19016905511","1810.70299606025","1903.35889665708","1876.28829763335","1881.05361463804","1993.06234598999","2135.62820222378","2250.80004314114","2126.6675897813","2316.73671858252","2610.38682949744","2472.44802546257","2421.82428925411","2627.66950655955","3055.36552488392","3670.41546371341","4249.48385734211","4837.8101194555","5993.74217612165","5049.16569571793","5797.80346543532","6695.85847731234","7265.96635133965","7314.82720108179","7247.97277832949","6185.08362961816","5938.79132841909","5941.06459437909","6402.38081068648","6403.54077174642","5654.95057417349",
"United Arab Emirates","ARE","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","26848.0881760738","30117.9489330308","33823.1816606368","28457.0780342099","33512.6334236559","42764.5405564139","44987.5379901852","40025.8226237317","34843.1596263749","32309.8327132028","29720.8977184634","23467.8793176905","23726.3070493825","22295.1187062952","24028.2624976646","27729.3905933305","26612.253110068","26420.8598834079","25596.7393895625","25848.016250094","27221.9344117425","28975.0799572712","29512.6747918254","26899.601766231","28470.885858149","33291.3662541838","31280.7558649555","31567.5463066439","33499.1027760786","36333.1873330517","39365.4596409245","41907.4214695701","41809.4621626311","44498.9405069137","32024.1977823245","33893.2638727391","39194.672239975","40976.4907464015","42412.6395002704","43751.8056478669","38663.4005026605","38141.8671313451","40644.7911901772","43839.3244866903","43103.3362929869","",
"Argentina","ARG","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","1155.89071669257","850.304578624232","1173.23810525517","1279.11377848123","1272.80320401009","1062.54341227446","1141.08043154103","1329.058546189","1322.59063753874","1372.37417356256","1408.86537993108","2097.02283010295","2844.86331235351","2027.33720222659","1948.22468587272","2129.70836077888","2146.36495899265","2520.92071606516","2758.83481652658","2776.32208825139","2927.89735685135","3553.37750879684","2659.70824247007","2926.12648531698","3613.62170927636","3562.87605875248","3985.19246874962","2383.86747065533","4333.48337168025","5735.3599805848","6823.53883710424","6969.11972904571","7483.14033425721","7408.70866363112","7721.35410460355","8213.12512693705","8289.5075682025","7774.73620280001","7708.09911454041","7208.37311355372","2593.404563368","3349.80630031036","4277.72157290954","5109.85224490403","5919.01233837714","7245.44685667197","9020.87332314274","8225.13758261645","10385.9644319555","12848.8641969705","13082.664325572","13080.2547323367","12334.7982453893","13789.060424772","12790.2424732447","14613.041824658","11633.4980086503","9912.28180859863","8441.9194391094",
