,CO2 per capita,GDP per capita
AFE,0.933541201136227,1507.8610550496
AFG,0.200151071015376,568.82792735402
AFW,0.515544238958445,1834.36660436787
AGO,0.88738036390839,3595.10666708754
ALB,1.93973156347946,4433.74173910081
AND,5.97340536048203,38301.2984391299
ARB,4.43871596541357,6221.69801754148
ARE,20.7974984025486,39700.4904275076
ARG,3.9872341980589,13112.4011339529
ARM,1.88024626821933,4051.38496692373
ATG,5.50466338464095,16156.9270684371
AUS,15.475516485656,58561.1900146445
AUT,7.14663762463773,46269.4836661902
AZE,3.22140218320925,5261.74450032581
BDI,0.0527946300523678,281.970226319531
BEL,8.17971106113614,42364.0057929583
BEN,0.688722324311593,1155.31317190296
BFA,0.21618648458803,719.496443811004
BGD,0.512837313770296,1498.38774559049
BGR,5.85477343393352,7986.75743527881
BHR,19.5929758385156,21735.3748549937
BHS,5.86046391017413,32727.1289363961
BIH,6.78113160660171,5384.52023835761
BLR,6.25402079970694,6136.83752143347
BLZ,1.77512784836231,4707.53868232068
BOL,2.00032766265544,3291.15636101039
BRA,2.04187419904738,8582.34994282074
BRB,4.36087077867709,16838.7287311496
BRN,16.644908616188,29802.7828760991
BTN,1.82927799192997,3097.14835098189
BWA,3.64230521985371,7174.25623164163
CAF,0.0707187056333878,412.990204087926
CAN,15.4970252672198,44765.5025108984
CEB,6.59723248598714,14242.1248726692
CHE,4.40199104356902,87980.6706854377
CHL,4.6248722447118,13901.0183087866
CHN,7.40521134749736,9688.46685936294
CIV,0.39530538358065,2247.77660859265
CMR,0.34184290843119,1383.10048394963
COD,0.0261692628875174,506.958175607208
COG,0.613992585944184,1841.4947745268
COL,1.6006506184645,6271.87512055937
COM,0.31237910327974,1287.65374179479
CPV,1.14020052817031,3333.06610990367
CRI,1.65218405330354,12505.3732631305
CSS,5.01703440813194,10041.2730205695
CUB,2.20230009386014,8040.98799500021
CYP,6.07940050216016,31977.8096482792
CZE,9.64070499819002,19685.4944824973
DEU,8.55838981170216,42956.0112931521
DJI,0.51098993349831,3088.58115894648
DMA,2.51305391896797,7381.84037258072
DNK,5.76149416359606,56563.4884729669
DOM,2.36375764821923,7997.7611092431
DZA,3.59165741835207,4158.32542063704
EAP,5.72039708283105,7725.32370920571
EAR,2.27814572017231,3502.11515302333
EAS,6.36117965117565,10855.1422851155
ECA,7.07331347955603,8120.03051980106
ECS,6.69010595705676,23850.7883601848
ECU,2.31381230047905,5952.21808360301
EGY,2.50204214229022,3831.19983495957
EMU,6.45483756670081,36318.9417819574
ESP,5.52035039972218,27714.6575535931
EST,12.1030850007224,19669.7648539037
ETH,0.149050931014413,757.35041670679
EUU,6.42403874133475,32445.5587983095
FCS,0.868444603959167,1872.07811108673
FIN,8.04275204989552,45610.579263751
FJI,2.15056197580052,5938.40681706622
FRA,4.61924120513374,38276.4694198731
FSM,1.59801136363636,2917.24221928425
GAB,2.17527220393767,7020.17802103846
GBR,5.39870813789348,46241.6519696352
GEO,2.53854169098541,4539.08752230476
GHA,0.541201382411755,1894.18610224959
GIN,0.25132323293185,920.964243320603
GMB,0.249989912687734,692.632098181955
GNB,0.165394727856314,637.546681187029
GNQ,5.09562509645018,8124.1828894291
GRC,6.08317505028006,18626.8243706972
GRD,2.69181419303897,10093.7130957072
GTM,1.11396927255543,4160.07113765612
GUY,3.13219265038697,6178.8693110021
HIC,10.254533148094,42446.7425344339
HND,1.01903275747031,2475.170273532
HPC,0.271687566711438,986.016700770536
HRV,4.05592876243046,13334.5954121456
HTI,0.299374738328049,1412.96310296048
HUN,4.74550624393641,14368.6390169359
IBD,4.38290344069714,6221.0603008304
IBT,3.40988700980962,4987.33428868563
IDA,0.560235134841183,1378.96968278665
IDB,0.920386827178104,1976.3226565975
IDN,2.17846155349724,3732.86711146592
IDX,0.375494879966321,1077.28302873886
IND,1.79982544579379,1915.4352712462
IRL,7.62432519277565,72578.4378391554
IRN,7.69301259933288,5203.16947029808
IRQ,4.89519536080978,4792.07414469899
ISL,6.23722432177273,57699.458929971
ISR,6.97640383662809,37591.0640055966
ITA,5.37637433931087,31585.7606788
JAM,2.89963415544152,5043.54079018179
JOR,2.47859527268662,4109.75242860846
JPN,8.7422577098865,36188.6200284301
KAZ,12.0619691393056,11053.3620631343
KEN,0.358028407608337,1469.38423843153
KGZ,1.73973556019485,1197.61072376978
KHM,0.686777894736518,1363.91772851644
KIR,0.690595811536403,1603.11371762227
KNA,4.95823639345513,18263.1709095678
KOR,12.224591362122,31040.6554458576
KWT,21.6227243085731,27496.8461653316
LAC,2.41393990657573,8254.35775894408
LAO,2.66090849278722,2476.97554341111
LBN,4.03970721671608,7311.05094865426
LBR,0.273917114341304,672.864441954286
LBY,8.82524913660345,5910.38876238678
LCA,2.14415305954148,10979.8199423645
LCN,2.63736256899646,8669.06167124556
LDC,0.335389683196917,1077.80523801499
