Height,Hair length,Gender
151,99,F
193,8,M
150,123,F
176,0,M
188,11,M
160,58,F
194,4,M
160,104,F
182,4,M
195,12,M
165,105,F
157,28,F
164,11,M
160,47,F
162,3,M
165,71,F
162,23,F
179,81,F
171,6,M
164,53,F
162,34,F
188,13,M
185,8,M
162,48,F
154,96,F
172,128,F
178,5,M
173,8,M
153,109,F
189,12,M
188,0,M
170,0,M
176,15,M
190,0,M
154,86,F
186,5,M
155,58,F
191,7,M
173,1,M
191,13,M
162,102,F
160,80,F
169,5,M
164,41,F
169,12,M
165,111,F
152,27,F
153,115,F
182,1,M
182,13,M
157,96,F
194,14,M
154,68,F
163,41,F
194,2,M
174,1,M
173,74,F
165,112,F
177,0,M
163,68,F
184,3,M
158,105,F
180,6,M
157,41,F
189,4,M
180,9,M
190,2,M
170,92,F
160,53,F
153,112,F
191,6,M
161,41,F
155,41,F
159,53,F
163,109,F
157,49,F
165,82,F
156,40,F
158,59,F
191,7,M
167,12,M
159,32,F
147,64,F
196,5,M
196,5,M
204,14,M
181,14,M
167,75,F
189,0,M
180,10,M
155,59,F
174,0,M
167,3,M
157,104,F
170,4,M
175,5,M
158,42,F
159,67,F
155,74,F
167,126,F
158,101,F
197,10,M
156,122,F
202,1,M
172,6,M
164,57,F
176,13,M
174,4,M
168,25,F
157,132,F
158,134,F
194,1,M
157,44,F
169,11,M
190,9,M
191,4,M
183,2,M
190,14,M
172,2,M
155,61,F
150,65,F
195,2,M
170,43,F
196,14,M
151,60,F
200,7,M
145,124,F
166,21,F
162,52,F
155,47,F
185,11,M
176,6,M
164,111,F
157,143,F
195,9,M
167,13,M
161,103,F
167,5,M
184,2,M
183,3,M
187,11,M
195,10,M
166,73,F
161,115,F
175,13,M
176,10,M
183,5,M
146,30,F
158,26,F
169,6,M
178,12,M
189,6,M
149,96,F
166,20,F
201,12,M
157,34,F
164,12,M
164,47,F
192,14,M
159,37,F
175,9,M
203,4,M
178,13,M
160,92,F
185,13,M
196,2,M
163,70,F
151,86,F
178,5,M
180,11,M
171,97,F
170,113,F
155,105,F
150,115,F
178,1,M
152,51,F
194,10,M
155,94,F
159,114,F
156,120,F
199,9,M
158,42,F
148,48,F
198,3,M
201,5,M
179,8,M
153,24,F
144,124,F
159,118,F
151,49,F
146,59,F
183,10,M
158,55,F
169,0,M
195,13,M
174,11,M
203,13,M
158,33,F
165,133,F
171,0,M
