Weight,Height,Class
42.2,66,Dobermann
43.0,70,Dobermann
39.2,67,Dobermann
49.9,63,Rottweiler
39.5,65,German Shepherd
36.9,62,German Shepherd
42.9,68,Dobermann
43.1,71,Dobermann
53.0,67,Rottweiler
41.1,67,Dobermann
38.1,63,German Shepherd
38.1,65,German Shepherd
30.4,63,German Shepherd
45.2,67,Dobermann
44.2,68,Dobermann
56.9,67,Rottweiler
34.3,61,German Shepherd
57.3,67,Rottweiler
58.6,68,Rottweiler
29.9,66,German Shepherd
43.6,67,Dobermann
40.3,71,Dobermann
43.3,66,Dobermann
59.2,60,Rottweiler
42.9,67,Dobermann
36.6,62,German Shepherd
42.0,68,Dobermann
39.5,68,Dobermann
37.2,64,German Shepherd
44.0,67,Dobermann
34.5,64,German Shepherd
56.6,63,Rottweiler
52.2,69,Rottweiler
43.8,72,Dobermann
57.9,67,Rottweiler
59.4,63,Rottweiler
36.2,62,German Shepherd
46.7,68,Dobermann
53.3,67,Rottweiler
50.7,63,Rottweiler
40.4,70,Dobermann
44.4,67,Dobermann
57.4,72,Rottweiler
58.9,69,Rottweiler
39.4,65,German Shepherd
44.1,70,Dobermann
39.9,63,Dobermann
54.9,63,Rottweiler
37.6,60,German Shepherd
36.1,68,Dobermann
56.6,64,Rottweiler
54.5,69,Rottweiler
31.5,63,German Shepherd
56.0,68,Rottweiler
32.5,62,German Shepherd
42.0,65,Dobermann
63.3,64,Rottweiler
32.0,62,German Shepherd
39.0,61,German Shepherd
55.8,68,Rottweiler
45.3,67,Dobermann
52.2,63,Rottweiler
38.3,64,German Shepherd
37.3,64,German Shepherd
41.7,67,Dobermann
34.3,64,German Shepherd
44.0,68,Dobermann
40.3,68,Dobermann
38.5,63,German Shepherd
42.0,67,Dobermann
36.2,62,German Shepherd
42.2,65,Dobermann
33.1,60,German Shepherd
53.4,60,Rottweiler
29.0,62,German Shepherd
44.1,68,Dobermann
43.2,62,German Shepherd
39.0,63,German Shepherd
56.8,67,Rottweiler
55.1,65,Rottweiler
55.0,68,Rottweiler
35.9,62,German Shepherd
55.3,63,Rottweiler
44.7,67,Dobermann
32.3,64,German Shepherd
47.7,66,Rottweiler
33.4,61,German Shepherd
44.8,68,Dobermann
32.8,64,German Shepherd
27.6,63,German Shepherd
30.3,63,German Shepherd
43.1,67,Dobermann
54.9,67,Rottweiler
53.7,65,Rottweiler
35.8,59,German Shepherd
44.9,66,Dobermann
51.4,64,Rottweiler
59.9,62,Rottweiler
41.1,68,Dobermann
34.6,61,German Shepherd
35.6,65,German Shepherd
33.9,63,German Shepherd
57.6,63,Rottweiler
39.1,68,Dobermann
54.2,65,Rottweiler
53.3,62,Rottweiler
39.5,68,Dobermann
40.2,64,German Shepherd
43.0,63,Dobermann
53.2,64,Rottweiler
32.8,61,German Shepherd
35.0,61,German Shepherd
47.1,64,Dobermann
54.7,66,Rottweiler
57.7,64,Rottweiler
34.3,64,German Shepherd
46.3,70,Dobermann
44.9,67,Dobermann
31.8,64,German Shepherd
55.7,60,Rottweiler
56.7,67,Rottweiler
56.4,66,Rottweiler
34.5,61,German Shepherd
52.6,66,Rottweiler
31.2,59,German Shepherd
37.6,66,Dobermann
33.8,61,German Shepherd
41.9,67,Dobermann
55.1,67,Rottweiler
39.6,67,Dobermann
54.6,63,Rottweiler
36.3,64,German Shepherd
51.2,64,Rottweiler
57.3,66,Rottweiler
36.7,65,German Shepherd
41.4,65,Dobermann
52.6,68,Rottweiler
64.2,66,Rottweiler
35.2,63,German Shepherd
42.5,61,German Shepherd
35.4,63,German Shepherd
55.2,65,Rottweiler
30.7,62,German Shepherd
44.3,64,Dobermann
49.1,69,Rottweiler
53.1,66,Rottweiler
55.5,72,Rottweiler
51.6,64,Rottweiler
52.3,60,Rottweiler
44.1,66,Dobermann
52.0,61,Rottweiler
57.7,59,Rottweiler
33.0,62,German Shepherd
33.7,63,German Shepherd
