DATE,CC Volume
1/1/2017,31
1/2/2017,251
1/3/2017,518
1/4/2017,414
1/5/2017,420
1/6/2017,429
1/7/2017,88
1/8/2017,60
1/9/2017,442
1/10/2017,438
1/11/2017,370
1/12/2017,384
1/13/2017,365
1/14/2017,56
1/15/2017,40
1/16/2017,324
1/17/2017,456
1/18/2017,416
1/19/2017,417
1/20/2017,342
1/21/2017,67
1/22/2017,76
1/23/2017,459
1/24/2017,457
1/25/2017,405
1/26/2017,402
1/27/2017,357
1/28/2017,92
1/29/2017,46
1/30/2017,446
1/31/2017,464
2/1/2017,376
2/2/2017,412
2/3/2017,505
2/4/2017,82
2/5/2017,48
2/6/2017,611
2/7/2017,471
2/8/2017,436
2/9/2017,436
2/10/2017,400
2/11/2017,86
2/12/2017,67
2/13/2017,519
2/14/2017,410
2/15/2017,407
2/16/2017,428
2/17/2017,399
2/18/2017,93
2/19/2017,47
2/20/2017,225
2/21/2017,524
2/22/2017,395
2/23/2017,378
2/24/2017,394
2/25/2017,82
2/26/2017,51
2/27/2017,432
2/28/2017,422
3/1/2017,385
3/2/2017,416
3/3/2017,440
3/4/2017,99
3/5/2017,52
3/6/2017,494
3/7/2017,393
3/8/2017,398
3/9/2017,356
3/10/2017,367
3/11/2017,57
3/12/2017,35
3/13/2017,514
3/14/2017,309
3/15/2017,339
3/16/2017,357
3/17/2017,328
3/18/2017,74
3/19/2017,38
3/20/2017,414
3/21/2017,390
3/22/2017,350
3/23/2017,378
3/24/2017,352
3/25/2017,87
3/26/2017,47
3/27/2017,442
3/28/2017,429
3/29/2017,352
3/30/2017,328
3/31/2017,354
4/1/2017,52
4/2/2017,26
4/3/2017,385
4/4/2017,373
4/5/2017,338
4/6/2017,316
4/7/2017,340
4/8/2017,70
4/9/2017,42
4/10/2017,423
4/11/2017,309
4/12/2017,318
4/13/2017,307
4/14/2017,272
4/15/2017,29
4/16/2017,14
4/17/2017,414
4/18/2017,359
4/19/2017,339
4/20/2017,349
4/21/2017,348
4/22/2017,44
4/23/2017,34
4/24/2017,347
4/25/2017,342
4/26/2017,323
4/27/2017,339
4/28/2017,348
4/29/2017,28
4/30/2017,20
5/1/2017,342
5/2/2017,324
5/3/2017,366
5/4/2017,338
5/5/2017,354
5/6/2017,44
5/7/2017,22
5/8/2017,450
5/9/2017,319
5/10/2017,380
5/11/2017,357
5/12/2017,343
5/13/2017,24
5/14/2017,20
5/15/2017,391
5/16/2017,379
5/17/2017,337
5/18/2017,390
5/19/2017,369
5/20/2017,35
5/21/2017,35
5/22/2017,444
5/23/2017,434
5/24/2017,335
5/25/2017,374
5/26/2017,331
5/27/2017,41
5/28/2017,26
5/29/2017,42
5/30/2017,414
5/31/2017,354
6/1/2017,341
6/2/2017,324
6/3/2017,35
6/4/2017,36
6/5/2017,424
6/6/2017,374
6/7/2017,312
6/8/2017,301
6/9/2017,348
6/10/2017,44
6/11/2017,35
6/12/2017,390
6/13/2017,345
6/14/2017,320
6/15/2017,316
6/16/2017,358
6/17/2017,29
6/18/2017,12
6/19/2017,446
6/20/2017,390
6/21/2017,385
6/22/2017,374
6/23/2017,398
6/24/2017,44
6/25/2017,25
6/26/2017,427
6/27/2017,372
6/28/2017,359
6/29/2017,346
6/30/2017,358
7/1/2017,38
7/2/2017,33
7/3/2017,204
7/4/2017,31
7/5/2017,333
7/6/2017,304
7/7/2017,379
7/8/2017,28
7/9/2017,36
7/10/2017,420
7/11/2017,298
7/12/2017,329
7/13/2017,345
7/14/2017,323
7/15/2017,26
7/16/2017,20
7/17/2017,407
7/18/2017,334
7/19/2017,279
7/20/2017,342
7/21/2017,311
7/22/2017,41
7/23/2017,19
7/24/2017,415
7/25/2017,316
7/26/2017,305
7/27/2017,318
7/28/2017,328
7/29/2017,33
7/30/2017,20
7/31/2017,325
8/1/2017,348
8/2/2017,324
8/3/2017,346
8/4/2017,276
8/5/2017,47
8/6/2017,28
8/7/2017,376
8/8/2017,345
8/9/2017,327
8/10/2017,292
8/11/2017,252
8/12/2017,22
8/13/2017,22
8/14/2017,324
8/15/2017,279
8/16/2017,269
8/17/2017,270
8/18/2017,275
8/19/2017,24
8/20/2017,53
8/21/2017,347
8/22/2017,316
8/23/2017,292
8/24/2017,242
8/25/2017,256
8/26/2017,23
8/27/2017,26
8/28/2017,322
8/29/2017,297
8/30/2017,326
8/31/2017,304
9/1/2017,289
9/2/2017,31
9/3/2017,23
9/4/2017,52
9/5/2017,286
9/6/2017,321
9/7/2017,268
9/8/2017,287
9/9/2017,28
9/10/2017,25
9/11/2017,307
9/12/2017,300
9/13/2017,333
9/14/2017,324
9/15/2017,324
9/16/2017,36
9/17/2017,30
9/18/2017,359
9/19/2017,316
9/20/2017,293
9/21/2017,282
9/22/2017,299
9/23/2017,26
9/24/2017,21
9/25/2017,318
9/26/2017,283
9/27/2017,285
9/28/2017,264
9/29/2017,303
9/30/2017,44
10/1/2017,19
10/2/2017,321
10/3/2017,261
10/4/2017,269
10/5/2017,304
10/6/2017,308
10/7/2017,28
10/8/2017,27
10/9/2017,265
10/10/2017,295
10/11/2017,288
10/12/2017,271
10/13/2017,271
10/14/2017,29
10/15/2017,19
10/16/2017,332
10/17/2017,271
10/18/2017,291
10/19/2017,268
10/20/2017,278
10/21/2017,29
10/22/2017,26
10/23/2017,382
